 ,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen28,0,0,0,0,0,0,0,28.047,90.286,469.86,863.394,241.198,598.683,917.094,668.307,974.24,515.079,408.265,171.12,135.527,0,0,0,0
scen29,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen30,0,0,0,0,0,0,0,6.112,188.767,865.267,1003.258,1545.6,1707.673,1741.882,1090.868,1145.825,692.296,428.818,199.652,116.988,0,0,0,0
scen31,0,0,0,0,0,0,0.046,36.575,129.414,832.1,973.858,794.419,1049.106,1135.404,984.525,925.156,768.51,528.22,195.19,106.168,0,0,0,0
scen32,0,0,0,0,0,0,0.287,5.004,231.265,653.801,1158.701,959.463,1333.76,1243.062,1046.771,966.262,788.624,424.55,164.441,124.632,0,0,0,0
scen33,0,0,0,0,0,0,0.053,8.496,133.602,696.921,609.381,1013.337,884.705,1311.081,1057.039,932.269,725.004,392.335,195.199,120.26,0,0,0,0
scen34,0,0,0,0,0,0,0,15.337,123.1,642.411,940.112,1258.881,1195.949,1235.065,972.366,1081.185,725.001,443.475,156.48,111.418,0,0,0,0
scen35,0,0,0,0,0,0,1.385,16.823,100.073,749.69,794.221,663.704,1401.218,1094.035,872.572,844.356,673.033,467.886,162.415,147.136,0,0,0,0
scen36,0,0,0,0,0,0,0,11.423,95.506,772.285,967.25,801.232,1165.68,1475.968,1119.069,892.3,746.856,402.288,190.637,108.193,0,0,0,0
scen37,0,0,0,0,0,0,0.984,6.653,32.577,645.189,747.768,1192.804,879.557,1119.681,1186.988,1055.305,801.461,521.959,161.859,128.527,0,0,0,0
scen38,0,0,0,0,0,0,0,14.655,67.676,743.722,442.281,1045.015,1165.237,858.001,1175.101,930.205,776.206,437.6,148.956,136.252,0,0,0,0
scen39,0,0,0,0,0,0,0.719,21.287,69.261,631.301,753.042,1412.387,1228.921,1088.073,1044.168,997.284,722.072,448.695,189.599,105.865,0,0,0,0
scen40,0,0,0,0,0,0,0,43.096,107.334,927.272,1062.742,1243.534,1228.711,1217.543,1279.781,975.204,740.423,441.808,181.915,122.887,0,0,0,0
scen41,0,0,0,0,0,0,0,8.812,57.05,612.812,866.514,1082.653,954.371,1149.242,1018.241,851.205,858.408,439.974,189.175,139.684,0,0,0,0
scen42,0,0,0,0,0,0,0.746,22.841,113.908,815.814,1292.366,807.864,1150.483,1155.521,1167.039,908.818,843.065,440.996,201.053,119.428,0,0,0,0
scen43,0,0,0,0,0,0,0,52.568,97.42,704.08,724.394,1070.625,1130.52,1279.554,1101.035,976.193,797.376,477.506,199.658,121.411,0,0,0,0
scen44,0,0,0,0,0,0,0,21.046,164.684,737.574,1006.898,1398.594,1000.613,1044.959,1141.103,1068.556,765.679,469.108,184.19,130.83,0,0,0,0
scen45,0,0,0,0,0,0,0,21.444,132.202,663.363,1178.28,878.539,964.384,1042.167,1123.86,1044.716,787.41,462.272,185.456,108.816,0,0,0,0
scen46,0,0,0,0,0,0,0,28.047,90.286,469.86,863.394,241.198,598.683,917.094,668.307,974.24,515.079,408.265,171.12,135.527,0,0,0,0
scen47,0,0,0,0,0,0,0.046,36.575,129.414,832.1,973.858,794.419,1049.106,1135.404,984.525,925.156,768.51,528.22,195.19,106.168,0,0,0,0
scen48,0,0,0,0,0,0,0.053,8.496,133.602,696.921,609.381,1013.337,884.705,1311.081,1057.039,932.269,725.004,392.335,195.199,120.26,0,0,0,0
scen49,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
scen50,0,0,0,0,0,0,0.984,6.653,32.577,645.189,747.768,1192.804,879.557,1119.681,1186.988,1055.305,801.461,521.959,161.859,128.527,0,0,0,0
scen51,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen52,0,0,0,0,0,0,0,6.112,188.767,865.267,1003.258,1545.6,1707.673,1741.882,1090.868,1145.825,692.296,428.818,199.652,116.988,0,0,0,0
scen53,0,0,0,0,0,0,0.746,22.841,113.908,815.814,1292.366,807.864,1150.483,1155.521,1167.039,908.818,843.065,440.996,201.053,119.428,0,0,0,0
scen54,0,0,0,0,0,0,0.287,5.004,231.265,653.801,1158.701,959.463,1333.76,1243.062,1046.771,966.262,788.624,424.55,164.441,124.632,0,0,0,0
scen55,0,0,0,0,0,0,0,38.188,85.683,662.275,912.566,1135.074,944.978,1462.997,1267.726,987.323,717.93,471.268,233.264,130.697,0,0,0,0
scen56,0,0,0,0,0,0,0,15.337,123.1,642.411,940.112,1258.881,1195.949,1235.065,972.366,1081.185,725.001,443.475,156.48,111.418,0,0,0,0
scen57,0,0,0,0,0,0,1.385,16.823,100.073,749.69,794.221,663.704,1401.218,1094.035,872.572,844.356,673.033,467.886,162.415,147.136,0,0,0,0
scen58,0,0,0,0,0,0,0,11.423,95.506,772.285,967.25,801.232,1165.68,1475.968,1119.069,892.3,746.856,402.288,190.637,108.193,0,0,0,0
scen59,0,0,0,0,0,0,0.14,0,121.04,726.65,718.271,969.048,1136.703,1178.901,1412.275,861.489,814.214,424.672,186.605,118.478,0,0,0,0
scen60,0,0,0,0,0,0,0,14.655,67.676,743.722,442.281,1045.015,1165.237,858.001,1175.101,930.205,776.206,437.6,148.956,136.252,0,0,0,0
scen61,0,0,0,0,0,0,0.719,21.287,69.261,631.301,753.042,1412.387,1228.921,1088.073,1044.168,997.284,722.072,448.695,189.599,105.865,0,0,0,0
scen62,0,0,0,0,0,0,0,43.096,107.334,927.272,1062.742,1243.534,1228.711,1217.543,1279.781,975.204,740.423,441.808,181.915,122.887,0,0,0,0
scen63,0,0,0,0,0,0,0,8.812,57.05,612.812,866.514,1082.653,954.371,1149.242,1018.241,851.205,858.408,439.974,189.175,139.684,0,0,0,0
scen64,0,0,0,0,0,0,0,15.655,203.368,662.603,1008.119,830.132,1249.315,866.989,1108.759,972.708,713.977,546.98,182.092,132.072,0,0,0,0
scen65,0,0,0,0,0,0,0,21.304,147.282,741.681,983.605,888.466,981.575,908.799,1183.067,1121.134,737.396,481.586,181.67,123.345,0,0,0,0
scen66,0,0,0,0,0,0,0.064,1.313,150.159,792.689,1045.607,1393.848,1224.42,1407.826,1143.764,1083.661,737.26,486.873,195.342,122.787,0,0,0,0
scen67,0,0,0,0,0,0,0.656,23.199,127.183,824.664,613.651,969.371,1558.213,1242.268,1276.27,921.653,758.84,367.585,197.348,122.91,0,0,0,0
scen68,0,0,0,0,0,0,0.046,36.575,129.414,832.1,973.858,794.419,1049.106,1135.404,984.525,925.156,768.51,528.22,195.19,106.168,0,0,0,0
scen69,0,0,0,0,0,0,0,6.112,188.767,865.267,1003.258,1545.6,1707.673,1741.882,1090.868,1145.825,692.296,428.818,199.652,116.988,0,0,0,0
scen70,0,0,0,0,0,0,0,21.444,132.202,663.363,1178.28,878.539,964.384,1042.167,1123.86,1044.716,787.41,462.272,185.456,108.816,0,0,0,0
scen71,0,0,0,0,0,0,0.984,6.653,32.577,645.189,747.768,1192.804,879.557,1119.681,1186.988,1055.305,801.461,521.959,161.859,128.527,0,0,0,0
scen72,0,0,0,0,0,0,0,28.047,90.286,469.86,863.394,241.198,598.683,917.094,668.307,974.24,515.079,408.265,171.12,135.527,0,0,0,0
scen73,0,0,0,0,0,0,0.053,8.496,133.602,696.921,609.381,1013.337,884.705,1311.081,1057.039,932.269,725.004,392.335,195.199,120.26,0,0,0,0
scen74,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
scen75,0,0,0,0,0,0,0.14,0,121.04,726.65,718.271,969.048,1136.703,1178.901,1412.275,861.489,814.214,424.672,186.605,118.478,0,0,0,0
scen76,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen77,0,0,0,0,0,0,0,8.812,57.05,612.812,866.514,1082.653,954.371,1149.242,1018.241,851.205,858.408,439.974,189.175,139.684,0,0,0,0
scen78,0,0,0,0,0,0,0.746,22.841,113.908,815.814,1292.366,807.864,1150.483,1155.521,1167.039,908.818,843.065,440.996,201.053,119.428,0,0,0,0
scen79,0,0,0,0,0,0,0.287,5.004,231.265,653.801,1158.701,959.463,1333.76,1243.062,1046.771,966.262,788.624,424.55,164.441,124.632,0,0,0,0
scen80,0,0,0,0,0,0,0.344,16.739,93.293,750.095,925.438,1113.547,1166.761,985.923,965.702,1127.676,754.95,515.136,188.203,134.066,0,0,0,0
scen81,0,0,0,0,0,0,0,15.337,123.1,642.411,940.112,1258.881,1195.949,1235.065,972.366,1081.185,725.001,443.475,156.48,111.418,0,0,0,0
scen82,0,0,0,0,0,0,1.385,16.823,100.073,749.69,794.221,663.704,1401.218,1094.035,872.572,844.356,673.033,467.886,162.415,147.136,0,0,0,0
scen83,0,0,0,0,0,0,0,11.423,95.506,772.285,967.25,801.232,1165.68,1475.968,1119.069,892.3,746.856,402.288,190.637,108.193,0,0,0,0
scen84,0,0,0,0,0,0,0,52.568,97.42,704.08,724.394,1070.625,1130.52,1279.554,1101.035,976.193,797.376,477.506,199.658,121.411,0,0,0,0
scen85,0,0,0,0,0,0,0,14.655,67.676,743.722,442.281,1045.015,1165.237,858.001,1175.101,930.205,776.206,437.6,148.956,136.252,0,0,0,0
scen86,0,0,0,0,0,0,0.719,21.287,69.261,631.301,753.042,1412.387,1228.921,1088.073,1044.168,997.284,722.072,448.695,189.599,105.865,0,0,0,0
scen87,0,0,0,0,0,0,0,43.096,107.334,927.272,1062.742,1243.534,1228.711,1217.543,1279.781,975.204,740.423,441.808,181.915,122.887,0,0,0,0
scen88,0,0,0,0,0,0,0,16.523,102.404,872.621,1136.633,1223.934,942.278,957.261,1235.701,890.467,755.963,490.29,186.401,137.679,0,0,0,0
scen89,0,0,0,0,0,0,0,15.655,203.368,662.603,1008.119,830.132,1249.315,866.989,1108.759,972.708,713.977,546.98,182.092,132.072,0,0,0,0
scen90,0,0,0,0,0,0,0,21.304,147.282,741.681,983.605,888.466,981.575,908.799,1183.067,1121.134,737.396,481.586,181.67,123.345,0,0,0,0
scen91,0,0,0,0,0,0,0.064,1.313,150.159,792.689,1045.607,1393.848,1224.42,1407.826,1143.764,1083.661,737.26,486.873,195.342,122.787,0,0,0,0
scen92,0,0,0,0,0,0,0.656,23.199,127.183,824.664,613.651,969.371,1558.213,1242.268,1276.27,921.653,758.84,367.585,197.348,122.91,0,0,0,0
scen93,0,0,0,0,0,0,0.752,0,112.872,742.991,773.425,1180.173,1141.605,1382.252,930.602,812.056,836.269,498.684,163.285,127.535,0,0,0,0
scen94,0,0,0,0,0,0,0,38.188,85.683,662.275,912.566,1135.074,944.978,1462.997,1267.726,987.323,717.93,471.268,233.264,130.697,0,0,0,0
scen95,0,0,0,0,0,0,1.617,47.721,155.603,600.331,894.514,546.477,942.144,1256.68,1269.543,861.398,708.559,467.53,185.359,109.273,0,0,0,0
scen96,0,0,0,0,0,0,0,6.112,188.767,865.267,1003.258,1545.6,1707.673,1741.882,1090.868,1145.825,692.296,428.818,199.652,116.988,0,0,0,0
scen97,0,0,0,0,0,0,0,28.047,90.286,469.86,863.394,241.198,598.683,917.094,668.307,974.24,515.079,408.265,171.12,135.527,0,0,0,0
scen98,0,0,0,0,0,0,0,15.337,123.1,642.411,940.112,1258.881,1195.949,1235.065,972.366,1081.185,725.001,443.475,156.48,111.418,0,0,0,0
scen99,0,0,0,0,0,0,0.984,6.653,32.577,645.189,747.768,1192.804,879.557,1119.681,1186.988,1055.305,801.461,521.959,161.859,128.527,0,0,0,0
scen100,0,0,0,0,0,0,0.746,22.841,113.908,815.814,1292.366,807.864,1150.483,1155.521,1167.039,908.818,843.065,440.996,201.053,119.428,0,0,0,0
scen101,0,0,0,0,0,0,0.053,8.496,133.602,696.921,609.381,1013.337,884.705,1311.081,1057.039,932.269,725.004,392.335,195.199,120.26,0,0,0,0
scen102,0,0,0,0,0,0,0,21.444,132.202,663.363,1178.28,878.539,964.384,1042.167,1123.86,1044.716,787.41,462.272,185.456,108.816,0,0,0,0
scen103,0,0,0,0,0,0,0.14,0,121.04,726.65,718.271,969.048,1136.703,1178.901,1412.275,861.489,814.214,424.672,186.605,118.478,0,0,0,0
scen104,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen105,0,0,0,0,0,0,0,8.812,57.05,612.812,866.514,1082.653,954.371,1149.242,1018.241,851.205,858.408,439.974,189.175,139.684,0,0,0,0
scen106,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
scen107,0,0,0,0,0,0,0.287,5.004,231.265,653.801,1158.701,959.463,1333.76,1243.062,1046.771,966.262,788.624,424.55,164.441,124.632,0,0,0,0
scen108,0,0,0,0,0,0,0.344,16.739,93.293,750.095,925.438,1113.547,1166.761,985.923,965.702,1127.676,754.95,515.136,188.203,134.066,0,0,0,0
scen109,0,0,0,0,0,0,1.617,47.721,155.603,600.331,894.514,546.477,942.144,1256.68,1269.543,861.398,708.559,467.53,185.359,109.273,0,0,0,0
scen110,0,0,0,0,0,0,1.385,16.823,100.073,749.69,794.221,663.704,1401.218,1094.035,872.572,844.356,673.033,467.886,162.415,147.136,0,0,0,0
scen111,0,0,0,0,0,0,0,11.423,95.506,772.285,967.25,801.232,1165.68,1475.968,1119.069,892.3,746.856,402.288,190.637,108.193,0,0,0,0
scen112,0,0,0,0,0,0,0,52.568,97.42,704.08,724.394,1070.625,1130.52,1279.554,1101.035,976.193,797.376,477.506,199.658,121.411,0,0,0,0
scen113,0,0,0,0,0,0,0,14.655,67.676,743.722,442.281,1045.015,1165.237,858.001,1175.101,930.205,776.206,437.6,148.956,136.252,0,0,0,0
scen114,0,0,0,0,0,0,0.719,21.287,69.261,631.301,753.042,1412.387,1228.921,1088.073,1044.168,997.284,722.072,448.695,189.599,105.865,0,0,0,0
scen115,0,0,0,0,0,0,0,43.096,107.334,927.272,1062.742,1243.534,1228.711,1217.543,1279.781,975.204,740.423,441.808,181.915,122.887,0,0,0,0
scen116,0,0,0,0,0,0,0,16.523,102.404,872.621,1136.633,1223.934,942.278,957.261,1235.701,890.467,755.963,490.29,186.401,137.679,0,0,0,0
scen117,0,0,0,0,0,0,0,15.655,203.368,662.603,1008.119,830.132,1249.315,866.989,1108.759,972.708,713.977,546.98,182.092,132.072,0,0,0,0
scen118,0,0,0,0,0,0,0,21.304,147.282,741.681,983.605,888.466,981.575,908.799,1183.067,1121.134,737.396,481.586,181.67,123.345,0,0,0,0
scen119,0,0,0,0,0,0,0.064,1.313,150.159,792.689,1045.607,1393.848,1224.42,1407.826,1143.764,1083.661,737.26,486.873,195.342,122.787,0,0,0,0
scen120,0,0,0,0,0,0,0.656,23.199,127.183,824.664,613.651,969.371,1558.213,1242.268,1276.27,921.653,758.84,367.585,197.348,122.91,0,0,0,0
scen121,0,0,0,0,0,0,0.752,0,112.872,742.991,773.425,1180.173,1141.605,1382.252,930.602,812.056,836.269,498.684,163.285,127.535,0,0,0,0
scen122,0,0,0,0,0,0,0,38.188,85.683,662.275,912.566,1135.074,944.978,1462.997,1267.726,987.323,717.93,471.268,233.264,130.697,0,0,0,0
scen123,0,0,0,0,0,0,0,29.781,180.579,819.226,978.23,964.817,967.625,1239.398,907.558,959.427,801.517,526.008,198.106,133.954,0,0,0,0
scen124,0,0,0,0,0,0,0.552,14.589,115.839,871.046,926.695,936.516,1160.472,993.295,1170.605,810.247,806.451,509.022,180.42,138.466,0,0,0,0
scen125,0,0,0,0,0,0,0.287,21.103,201.351,719.667,1224.564,1093.827,1085.592,1199.682,1179.229,947.486,817.109,493.737,177.582,109.179,0,0,0,0
scen126,0,0,0,0,0,0,0,37.642,166.64,644.968,903.384,1205.372,1368.498,921.978,1199.635,956.374,820.386,436.019,208.903,123.807,0,0,0,0
scen127,0,0,0,0,0,0,0.746,22.841,113.908,815.814,1292.366,807.864,1150.483,1155.521,1167.039,908.818,843.065,440.996,201.053,119.428,0,0,0,0
scen128,0,0,0,0,0,0,0.984,6.653,32.577,645.189,747.768,1192.804,879.557,1119.681,1186.988,1055.305,801.461,521.959,161.859,128.527,0,0,0,0
scen129,0,0,0,0,0,0,0,15.337,123.1,642.411,940.112,1258.881,1195.949,1235.065,972.366,1081.185,725.001,443.475,156.48,111.418,0,0,0,0
scen130,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen131,0,0,0,0,0,0,0,8.812,57.05,612.812,866.514,1082.653,954.371,1149.242,1018.241,851.205,858.408,439.974,189.175,139.684,0,0,0,0
scen132,0,0,0,0,0,0,0,6.112,188.767,865.267,1003.258,1545.6,1707.673,1741.882,1090.868,1145.825,692.296,428.818,199.652,116.988,0,0,0,0
scen133,0,0,0,0,0,0,0,21.444,132.202,663.363,1178.28,878.539,964.384,1042.167,1123.86,1044.716,787.41,462.272,185.456,108.816,0,0,0,0
scen134,0,0,0,0,0,0,0.14,0,121.04,726.65,718.271,969.048,1136.703,1178.901,1412.275,861.489,814.214,424.672,186.605,118.478,0,0,0,0
scen135,0,0,0,0,0,0,0,28.047,90.286,469.86,863.394,241.198,598.683,917.094,668.307,974.24,515.079,408.265,171.12,135.527,0,0,0,0
scen136,0,0,0,0,0,0,0,16.523,102.404,872.621,1136.633,1223.934,942.278,957.261,1235.701,890.467,755.963,490.29,186.401,137.679,0,0,0,0
scen137,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
scen138,0,0,0,0,0,0,0.287,5.004,231.265,653.801,1158.701,959.463,1333.76,1243.062,1046.771,966.262,788.624,424.55,164.441,124.632,0,0,0,0
scen139,0,0,0,0,0,0,0.344,16.739,93.293,750.095,925.438,1113.547,1166.761,985.923,965.702,1127.676,754.95,515.136,188.203,134.066,0,0,0,0
scen140,0,0,0,0,0,0,1.617,47.721,155.603,600.331,894.514,546.477,942.144,1256.68,1269.543,861.398,708.559,467.53,185.359,109.273,0,0,0,0
scen141,0,0,0,0,0,0,1.385,16.823,100.073,749.69,794.221,663.704,1401.218,1094.035,872.572,844.356,673.033,467.886,162.415,147.136,0,0,0,0
scen142,0,0,0,0,0,0,0,11.423,95.506,772.285,967.25,801.232,1165.68,1475.968,1119.069,892.3,746.856,402.288,190.637,108.193,0,0,0,0
scen143,0,0,0,0,0,0,0,52.568,97.42,704.08,724.394,1070.625,1130.52,1279.554,1101.035,976.193,797.376,477.506,199.658,121.411,0,0,0,0
scen144,0,0,0,0,0,0,0,14.655,67.676,743.722,442.281,1045.015,1165.237,858.001,1175.101,930.205,776.206,437.6,148.956,136.252,0,0,0,0
scen145,0,0,0,0,0,0,0.719,21.287,69.261,631.301,753.042,1412.387,1228.921,1088.073,1044.168,997.284,722.072,448.695,189.599,105.865,0,0,0,0
scen146,0,0,0,0,0,0,0,43.096,107.334,927.272,1062.742,1243.534,1228.711,1217.543,1279.781,975.204,740.423,441.808,181.915,122.887,0,0,0,0
scen147,0,0,0,0,0,0,0.579,39.863,33.264,729.779,886.644,1032.545,760.42,1530.313,1070.536,893.143,759.713,446.504,181.987,118.638,0,0,0,0
scen148,0,0,0,0,0,0,0,15.655,203.368,662.603,1008.119,830.132,1249.315,866.989,1108.759,972.708,713.977,546.98,182.092,132.072,0,0,0,0
scen149,0,0,0,0,0,0,0,21.304,147.282,741.681,983.605,888.466,981.575,908.799,1183.067,1121.134,737.396,481.586,181.67,123.345,0,0,0,0
scen150,0,0,0,0,0,0,0.064,1.313,150.159,792.689,1045.607,1393.848,1224.42,1407.826,1143.764,1083.661,737.26,486.873,195.342,122.787,0,0,0,0
scen151,0,0,0,0,0,0,0.656,23.199,127.183,824.664,613.651,969.371,1558.213,1242.268,1276.27,921.653,758.84,367.585,197.348,122.91,0,0,0,0
scen152,0,0,0,0,0,0,0.752,0,112.872,742.991,773.425,1180.173,1141.605,1382.252,930.602,812.056,836.269,498.684,163.285,127.535,0,0,0,0
scen153,0,0,0,0,0,0,0,38.188,85.683,662.275,912.566,1135.074,944.978,1462.997,1267.726,987.323,717.93,471.268,233.264,130.697,0,0,0,0
scen154,0,0,0,0,0,0,0,29.781,180.579,819.226,978.23,964.817,967.625,1239.398,907.558,959.427,801.517,526.008,198.106,133.954,0,0,0,0
scen155,0,0,0,0,0,0,0.552,14.589,115.839,871.046,926.695,936.516,1160.472,993.295,1170.605,810.247,806.451,509.022,180.42,138.466,0,0,0,0
scen156,0,0,0,0,0,0,0.287,21.103,201.351,719.667,1224.564,1093.827,1085.592,1199.682,1179.229,947.486,817.109,493.737,177.582,109.179,0,0,0,0
scen157,0,0,0,0,0,0,0,37.642,166.64,644.968,903.384,1205.372,1368.498,921.978,1199.635,956.374,820.386,436.019,208.903,123.807,0,0,0,0
scen158,0,0,0,0,0,0,0.815,29.175,146.158,579.984,916.843,1141.537,1385.912,1437.561,1192.701,1000.849,796.633,448.673,176.701,127.33,0,0,0,0
scen159,0,0,0,0,0,0,0.566,28.951,197.359,867.659,1048.333,1606.418,1152.506,1253.885,958.523,934.109,808.522,472.384,218.274,107.482,0,0,0,0
scen160,0,0,0,0,0,0,0.357,18.95,84.744,734.613,654.274,1037.3,935.992,1046.685,930.059,908.092,702.479,416.133,183.129,110.143,0,0,0,0
scen161,0,0,0,0,0,0,0.967,26.71,131.74,516.57,1073.375,792.67,1024.292,1286.697,1064.985,1106.941,723.485,421.596,188.923,111.49,0,0,0,0
scen162,0,0,0,0,0,0,0,21.444,132.202,663.363,1178.28,878.539,964.384,1042.167,1123.86,1044.716,787.41,462.272,185.456,108.816,0,0,0,0
scen163,0,0,0,0,0,0,0,8.812,57.05,612.812,866.514,1082.653,954.371,1149.242,1018.241,851.205,858.408,439.974,189.175,139.684,0,0,0,0
scen164,0,0,0,0,0,0,0.344,16.739,93.293,750.095,925.438,1113.547,1166.761,985.923,965.702,1127.676,754.95,515.136,188.203,134.066,0,0,0,0
scen165,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen166,0,0,0,0,0,0,0,16.523,102.404,872.621,1136.633,1223.934,942.278,957.261,1235.701,890.467,755.963,490.29,186.401,137.679,0,0,0,0
scen167,0,0,0,0,0,0,0.287,5.004,231.265,653.801,1158.701,959.463,1333.76,1243.062,1046.771,966.262,788.624,424.55,164.441,124.632,0,0,0,0
scen168,0,0,0,0,0,0,1.385,16.823,100.073,749.69,794.221,663.704,1401.218,1094.035,872.572,844.356,673.033,467.886,162.415,147.136,0,0,0,0
